event,year,month,day,category,description,difficulty,region,tags,source,wikipediaSlug,imageCaption
"^ Reinecke, Paul (1922). ""Chronologische Übersicht der vor- und frühgeschichtlic",1922,,,war-politics,"^ Reinecke, Paul (1922). ""Chronologische Übersicht der vor- und frühgeschichtlichen Zeiten"". Bayer. Vorgeschichtsfreund . 1– 2 ( 1921– 1922): 18– 25.",2,Global,,,,
^ Serge Lancel (1995). Carthage . Translated by Antonia Nevill. Oxford: Blackwel,1995,,,art-culture-religion,^ Serge Lancel (1995). Carthage . Translated by Antonia Nevill. Oxford: Blackwell. pp. 20– 23. {{ cite book }} :  CS1 maint: publisher location ( link ),2,Africa,art,,,
"^ Picard, Life and Death of Carthage (1968, 1969) at 28–35 – Picard specifically",1969,,,art-culture-religion,"^ Picard, Life and Death of Carthage (1968, 1969) at 28–35 – Picard specifically favors 750–25 BC, closer to Apion than Timaeus.",2,Africa,art,,,
"^ ""Macedonia"" . education.nationalgeographic.org . Retrieved 2025-02-06",2025,2,6,war-politics,"^ ""Macedonia"" . education.nationalgeographic.org . Retrieved 2025-02-06 .",2,Global,,,,
"^ William Smith, A Dictionary of Greek and Roman Antiquities . J. Murray, 1891",1891,,,war-politics,"^ William Smith, A Dictionary of Greek and Roman Antiquities . J. Murray, 1891",2,Europe,,,,
"^ ""History"" . Olympic Games . Archived from the original on 9 August 2016 . Retr",9,,,war-politics,"^ ""History"" . Olympic Games . Archived from the original on 9 August 2016 . Retrieved 11 August 2016 .",2,Global,,,,
"^ Clist, Bernard. (1987). A critical reappraisal of the chronological framework",1987,,,science-technology,"^ Clist, Bernard. (1987). A critical reappraisal of the chronological framework of the early Urewe Iron Age industry. Muntu. 6. 35–62.",2,Global,,,,
"^ Kamil Veith Zvelebil, Companion Studies to the History of Tamil Literature , p",12,,,art-culture-religion,"^ Kamil Veith Zvelebil, Companion Studies to the History of Tamil Literature , p. 12",2,Global,literature,,,
"^ ""CYRUS iii. Cyrus II The Great"" . iranicaonline.org . Retrieved 2025-02-06",2025,2,6,war-politics,"^ ""CYRUS iii. Cyrus II The Great"" . iranicaonline.org . Retrieved 2025-02-06 .",2,Middle East,,,,
Paul L. Maier,1989,,,art-culture-religion,"Paul L. Maier was an American historian and novelist. He wrote several works of scholarly and popular non-fiction about Christianity and novels about Christian historians. He was the Russell H. Seibert Professor of Ancient History at Western Michigan University, from which he retired in 2011, retaining the title of professor emeritus in the Department of History.",2,Americas,art;ancient,https://en.wikipedia.org/wiki/Paul_L._Maier,Paul_L._Maier,"American historian, writer and academic (1930–2025)"
Andreas J. Köstenberger,2009,,,war-politics,"Andreas Johannes Köstenberger is an Austrian-American Biblical scholar, who was research professor at Midwestern Baptist Theological Seminary. Until 2018, he was Senior Research Professor of New Testament and Biblical Theology at Southeastern Baptist Theological Seminary (SEBTS) in Wake Forest, North Carolina. Kostenberger now teaches in an adjunct position at BJU Seminary in Greenville, SC.",2,Europe,,https://en.wikipedia.org/wiki/Andreas_J._K%C3%B6stenberger,Andreas_J._Köstenberger,American theologian
"^ ""Saint Augustine – Biography, Philosophy, & Major Works"" . Encyclopedia Britan",28,,,art-culture-religion,"^ ""Saint Augustine – Biography, Philosophy, & Major Works"" . Encyclopedia Britannica . Retrieved 28 January 2018 .",2,Global,philosophy,,,
"Collingwood, R. G. (1946). The Idea of History . Oxford: Clarendon Press",1946,,,war-politics,"Collingwood, R. G. (1946). The Idea of History . Oxford: Clarendon Press.",2,Global,,,,
Jared Diamond,1999,,,science-technology,"Jared Mason Diamond is an American scientist, historian, and author. He has written hundreds of scientific and popular articles and books, most notably Guns, Germs, and Steel (1997), which received multiple awards, including the 1998 Pulitzer Prize for general nonfiction. In 2005, Diamond was ranked ninth on a poll by Prospect and Foreign Policy of the world's top 100 public intellectuals.",2,Americas,war;art,https://en.wikipedia.org/wiki/Jared_Diamond,Jared_Diamond,"American scientist, historian, and author (born 1937)"
"Dodds, E. R. (1964). The Greeks and the Irrational . Berkeley, Calif.: Universit",1964,,,art-culture-religion,"Dodds, E. R. (1964). The Greeks and the Irrational . Berkeley, Calif.: University of California Press.",2,Global,,,,
"Kristiansen, Kristian; Larsson, Thomas B. (2005). The Rise of Bronze Age Society",2005,,,art-culture-religion,"Kristiansen, Kristian; Larsson, Thomas B. (2005). The Rise of Bronze Age Society . Cambridge University Press.",2,Global,,,,
American Journal of Philology,1973,,,art-culture-religion,"The American Journal of Philology is a quarterly academic journal established in 1880 by the classical scholar Basil Lanneau Gildersleeve and published by the Johns Hopkins University Press. It covers the field of philology, and related areas of classical literature, linguistics, history, philosophy, and cultural studies.",2,Americas,art;literature;philosophy,https://en.wikipedia.org/wiki/The_American_Journal_of_Philology,The_American_Journal_of_Philology,Academic journal
"Lobell, Jarrett (July–August 2002). ""Etruscan Pompeii"" . Archaeological Institut",2002,,,war-politics,"Lobell, Jarrett (July–August 2002). ""Etruscan Pompeii"" . Archaeological Institute of America . 55 (4).",2,Americas,,,,
"MacMullen, Ramsay (1966). Enemies of the Roman Order: Treason, Unrest and Aliena",1966,,,war-politics,"MacMullen, Ramsay (1966). Enemies of the Roman Order: Treason, Unrest and Alienation in the Empire . Cambridge, Massachusetts: Harvard University Press.",2,Europe,empire,,,
Articles needing additional references from September 2022,2022,,,art-culture-religion,Articles needing additional references from September 2022,2,Global,art,,,
"This page was last edited on 20 June 2026, at 20:06 (UTC)",20,,,war-politics,"This page was last edited on 20 June 2026, at 20:06 (UTC) .",2,Global,,,,
Overview Toggle Overview subsection 1.1 Europe 1.2 Elsewhere,1,,,war-politics,1 Overview Toggle Overview subsection 1.1 Europe 1.2 Elsewhere,2,Europe,europe,,,
Early post-classical history Toggle Early post-classical history subsection 2.1,2,,,war-politics,2 Early post-classical history Toggle Early post-classical history subsection 2.1 5th and 6th centuries 2.2 7th century 2.3 8th century 2.4 9th century 2.5 10th century,2,Global,,,,
Middle post-classical history Toggle Middle post-classical history subsection 3,3,,,war-politics,3 Middle post-classical history Toggle Middle post-classical history subsection 3.1 11th century 3.2 12th century 3.3 13th century,2,Global,,,,
Late post-classical history Toggle Late post-classical history subsection 4.1 14,4,,,war-politics,4 Late post-classical history Toggle Late post-classical history subsection 4.1 14th century 4.2 15th century,2,Global,,,,
"^ ""TIMELINE: World History"" . www.wdl.org . Archived from the original on 2019-0",2019,1,22,war-politics,"^ ""TIMELINE: World History"" . www.wdl.org . Archived from the original on 2019-01-22 . Retrieved 2019-06-12 .",2,Global,,,,
"^ a b c ""Civilization.ca – Mystery of the Maya – Maya civilization timeline"" . w",2018,2,16,war-politics,"^ a b c ""Civilization.ca – Mystery of the Maya – Maya civilization timeline"" . www.historymuseum.ca . Archived from the original on 2018-02-16 . Retrieved 2017-04-02 .",2,Americas,,,,
David Stuttard,2010,,,art-culture-religion,"David Stuttard is a British theatre director, classical scholar, translator, lecturer on classical literature and history, and author, primarily of historical works on the ancient world.",2,Global,literature;ancient,https://en.wikipedia.org/wiki/David_Stuttard,David_Stuttard,"British writer, theatre director and classical scholar"
"Grand Rapids, Michigan",1890,,,war-politics,"Grand Rapids is a city in and the county seat of Kent County, Michigan, United States. It is the second-most populous city in Michigan, with a population of 198,917 at the 2020 census. The Grand Rapids metropolitan area, with over 1.18 million residents, is the 49th-largest metropolitan area in the U.S.",2,Americas,,"https://en.wikipedia.org/wiki/Grand_Rapids,_Michigan","Grand_Rapids,_Michigan","City in Michigan, United States"
"^ ""June 2, 455 – Gaiseric, The Vandals & The Sack of Rome"" . Multiply. 2012. Arc",455,,,war-politics,"^ ""June 2, 455 – Gaiseric, The Vandals & The Sack of Rome"" . Multiply. 2012. Archived from the original on 4 March 2016 . Retrieved 28 February 2013 .",2,Global,,,,
"^ ""Multiply.com"" . History101.multiply.com. 2013-05-31. Archived from the origin",2013,5,31,war-politics,"^ ""Multiply.com"" . History101.multiply.com. 2013-05-31. Archived from the original on 2016-03-04 . Retrieved 2014-02-01 .",2,Global,,,,
"^ Hollister, C. Warren. The Making of England to 1399 , 8th ed., p. 31. Houghton",1399,,,war-politics,"^ Hollister, C. Warren. The Making of England to 1399 , 8th ed., p. 31. Houghton Mifflin Co. (New York), 2001.",2,Europe,war,,,
"^ The Consolation of Philosophy (Oxford World's Classics) , Introduction (2000)",2000,,,art-culture-religion,"^ The Consolation of Philosophy (Oxford World's Classics) , Introduction (2000)",2,Global,philosophy,,,
"^ ""Medieval Sourcebook: Procopius: JUSTINIAN SUPPRESSES THE NIKA REVOLT, 532""",1996,,,war-politics,"^ ""Medieval Sourcebook: Procopius: JUSTINIAN SUPPRESSES THE NIKA REVOLT, 532"" . Paul Halsall. 1996 . Retrieved 22 January 2014 .",2,Global,medieval,,,
"^ ""Scotland's History – Columba"" . BBC . Retrieved 2014-01-22",2014,1,22,war-politics,"^ ""Scotland's History – Columba"" . BBC . Retrieved 2014-01-22 .",2,Global,,,,
World History Encyclopedia,2017,4,2,art-culture-religion,"World History Encyclopedia is a nonprofit educational company created in 2009 by Jan van der Crabben. The organization publishes and maintains articles, images, videos, podcasts, and interactive educational tools related to history. All users may contribute content to the site, although submissions are reviewed by an editorial team before publication.",2,Global,art,https://en.wikipedia.org/wiki/World_History_Encyclopedia,World_History_Encyclopedia,Organization and encyclopedic website
"^ Ebrey, Cambridge Illustrated History of China , 114: ""[…] the Grand Canal, dug",605,,,war-politics,"^ Ebrey, Cambridge Illustrated History of China , 114: ""[…] the Grand Canal, dug between 605 and 609 by means of enormous levies of conscripted labour.""",2,Asia,,,,
"^ Snow, Dean (2010). Archaeology of Native North America . Upper Saddle River: P",2010,,,war-politics,"^ Snow, Dean (2010). Archaeology of Native North America . Upper Saddle River: Prentice Hall. p. 157.",2,Americas,,,,
"^ Korean Britannica Encyclopedia , Daum, archived from the original on 2007-05-1",2007,5,14,war-politics,"^ Korean Britannica Encyclopedia , Daum, archived from the original on 2007-05-14 , retrieved 2014-03-20",2,Asia,,,,
Tonio Andrade,2016,1,12,war-politics,"Tonio Adam Andrade is an American military historian and sinologist. A historian of East Asia and the history of East Asian trading networks, he is a professor of history at Emory University.",2,Americas,asia,https://en.wikipedia.org/wiki/Tonio_Andrade,Tonio_Andrade,American historian
"^ Dvornik, Francis (1956). The Slavs: Their Early History and Civilization . Bos",1956,,,art-culture-religion,"^ Dvornik, Francis (1956). The Slavs: Their Early History and Civilization . Boston: American Academy of Arts and Sciences. p. 179. The Psalter and the Book of Prophets were adapted or ""modernized"" with special regard to their use in Bulgarian churches, and it was in this school",2,Americas,science;art;modern,,,
Birmingham Museum of Art,2010,,,art-culture-religion,"The Birmingham Museum of Art is a museum in Birmingham, Alabama. Its collection includes more than 24,000 paintings, sculptures, prints, drawings, and decorative arts representing various cultures, including Asian, European, American, African, Pre-Columbian, and Native American.",2,Europe,art;africa;asia;europe,https://en.wikipedia.org/wiki/Birmingham_Museum_of_Art,Birmingham_Museum_of_Art,"Municipal art museum in Alabama, US"
"^ R. H. Major, ed. (1857), ""The travels of Niccolo Conti"" , India in the Fifteen",1857,,,war-politics,"^ R. H. Major, ed. (1857), ""The travels of Niccolo Conti"" , India in the Fifteenth Century , Hakluyt Society, p. 27 Discussed in Needham, Science and Civilisation in China , p. 452",2,Asia,science,,,
Articles needing additional references from October 2018,2018,,,art-culture-religion,Articles needing additional references from October 2018,2,Global,art,,,
Articles that may contain original research from October 2018,2018,,,art-culture-religion,Articles that may contain original research from October 2018,2,Global,art,,,
"This page was last edited on 1 February 2026, at 13:03 (UTC)",1,,,war-politics,"This page was last edited on 1 February 2026, at 13:03 (UTC) .",2,Global,,,,
Overview Toggle Overview subsection 1.1 Europe 1.2 Elsewhere,1,,,war-politics,1 Overview Toggle Overview subsection 1.1 Europe 1.2 Elsewhere,2,Europe,europe,,,
General timelines Toggle General timelines subsection 2.1 Early modern period 2,2,,,war-politics,2 General timelines Toggle General timelines subsection 2.1 Early modern period 2.2 Late modern period 2.3 Contemporary period 2.4 Future,2,Global,modern,,,
Topical timelines Toggle Topical timelines subsection 4.1 Exploration 4.2 Wars,4,,,war-politics,4 Topical timelines Toggle Topical timelines subsection 4.1 Exploration 4.2 Wars,2,Global,war;exploration,,,
"For a timeline of events from 1501 to 1600, see 16th century § Significant event",1501,,,war-politics,"For a timeline of events from 1501 to 1600, see 16th century § Significant events",2,Global,,,,
"For a timeline of events from 1601 to 1700, see Timeline of the 17th century",1601,,,war-politics,"For a timeline of events from 1601 to 1700, see Timeline of the 17th century",2,Global,,https://en.wikipedia.org/wiki/Timeline_of_the_17th_century,Timeline_of_the_17th_century,
"For a timeline of events from 1701 to 1800, see Timeline of the 18th century",1701,,,war-politics,"For a timeline of events from 1701 to 1800, see Timeline of the 18th century",2,Global,,https://en.wikipedia.org/wiki/Timeline_of_the_18th_century,Timeline_of_the_18th_century,
"For a timeline of events from 1801 to 1900, see Timeline of the 19th century",1801,,,war-politics,"For a timeline of events from 1801 to 1900, see Timeline of the 19th century",2,Global,,https://en.wikipedia.org/wiki/Timeline_of_the_19th_century,Timeline_of_the_19th_century,
"For a timeline of events from 1901 to 1945, see Timeline of the 20th century For",1901,,,war-politics,"For a timeline of events from 1901 to 1945, see Timeline of the 20th century For 1914–1918, see Timeline of World War I For 1918-1939 see Timeline of events preceding World War II For 1939–1945 see Timeline of World War II",1,Global,war,https://en.wikipedia.org/wiki/Timeline_of_the_20th_century,Timeline_of_the_20th_century,
"For a timeline of events from 1945 to 2000, see Timeline of the 20th century § 1",1945,,,war-politics,"For a timeline of events from 1945 to 2000, see Timeline of the 20th century § 1945 Timeline of the Cold War",1,Global,war,https://en.wikipedia.org/wiki/Timeline_of_the_Cold_War,Timeline_of_the_Cold_War,
"For a timeline of events from 2001 onward, see Timeline of the 21st century",2001,,,war-politics,"For a timeline of events from 2001 onward, see Timeline of the 21st century",2,Global,war,https://en.wikipedia.org/wiki/Timeline_of_the_21st_century,Timeline_of_the_21st_century,
"^ Encyclopedia Britannica "" The Middle-Ages "" Retrieved October 14, 2020",2020,10,14,war-politics,"^ Encyclopedia Britannica "" The Middle-Ages "" Retrieved October 14, 2020",2,Global,,,,
"Langer, William. An Encyclopedia of World History (5th ed. 1973); highly detaile",1973,,,war-politics,"Langer, William. An Encyclopedia of World History (5th ed. 1973); highly detailed outline of events online free",2,Global,,,,
"Morris, Richard B. and Graham W. Irwin, eds. Harper Encyclopedia of the Modern W",1760,,,war-politics,"Morris, Richard B. and Graham W. Irwin, eds. Harper Encyclopedia of the Modern World: A Concise Reference History from 1760 to the Present (1970) online",2,Global,modern,,,
"This page was last edited on 11 June 2026, at 08:31 (UTC)",11,,,war-politics,"This page was last edited on 11 June 2026, at 08:31 (UTC) .",2,Global,,,,
1721 : Great Northern War between the Russian and Swedish Empires,1700,,,war-politics,1700 – 1721 : Great Northern War between the Russian and Swedish Empires .,2,Europe,war;empire,https://en.wikipedia.org/wiki/1700,1700,
Kingdom of Prussia declared under King Frederick I,1701,,,war-politics,1701 : Kingdom of Prussia declared under King Frederick I .,2,Global,,https://en.wikipedia.org/wiki/1701,1701,
"1714: War of the Spanish Succession is fought, involving most of continental Eur",1,,,war-politics,"1701–1714: War of the Spanish Succession is fought, involving most of continental Europe . [ 1 ]",2,Europe,war;europe,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession,War_of_the_Spanish_Succession,
1702 : The Daily Courant and The Norwich Post become the first daily newspapers,1702,,,art-culture-religion,1701– 1702 : The Daily Courant and The Norwich Post become the first daily newspapers in England.,2,Europe,,https://en.wikipedia.org/wiki/1702,1702,
1715 : Camisard Rebellion in France,1715,,,war-politics,1702– 1715 : Camisard Rebellion in France.,2,Europe,,https://en.wikipedia.org/wiki/1715,1715,
Saint Petersburg is founded by Peter the Great ; it is the Russian capital until,1703,,,war-politics,1703 : Saint Petersburg is founded by Peter the Great ; it is the Russian capital until 1918 .,2,Europe,,https://en.wikipedia.org/wiki/1703,1703,
1711 : The Rákóczi Uprising against the Habsburg monarchy,1711,,,war-politics,1703– 1711 : The Rákóczi Uprising against the Habsburg monarchy .,2,Global,monarchy,https://en.wikipedia.org/wiki/1711,1711,
End of Japan's Genroku period,1704,,,war-politics,1704 : End of Japan's Genroku period.,2,Asia,,https://en.wikipedia.org/wiki/1704,1704,
First Javanese War of Succession . [ 2 ],2,,,war-politics,1704: First Javanese War of Succession . [ 2 ],2,Global,war,https://en.wikipedia.org/wiki/First_Javanese_War_of_Succession,First_Javanese_War_of_Succession,
"George Frideric Handel 's first opera, Almira , premieres",1705,,,art-culture-religion,"1705 : George Frideric Handel 's first opera, Almira , premieres.",2,Global,,https://en.wikipedia.org/wiki/1705,1705,
War of the Spanish Succession : French troops defeated at the battles of Ramilli,1706,,,war-politics,1706 : War of the Spanish Succession : French troops defeated at the battles of Ramillies and Turin .,2,Global,war,https://en.wikipedia.org/wiki/1706,1706,
"The Act of Union is passed, merging the Scottish and English Parliaments, thus e",1707,,,war-politics,"1707 : The Act of Union is passed, merging the Scottish and English Parliaments, thus establishing the Kingdom of Great Britain . [ 3 ]",2,Europe,,https://en.wikipedia.org/wiki/1707,1707,
War of 27 Years between the Marathas and Mughals ends in India,27,,,war-politics,1707: War of 27 Years between the Marathas and Mughals ends in India.,2,Asia,war,https://en.wikipedia.org/wiki/War_of_27_Years,War_of_27_Years,
1708,1708,,,art-culture-religion,"1708 (MDCCVIII) was a leap year starting on Sunday of the Gregorian calendar and a leap year starting on Thursday of the Julian calendar, the 1708th year of the Common Era (CE) and Anno Domini (AD) designations, the 708th year of the 2nd millennium, the 8th year of the 18th century, and the 9th year of the 1700s decade.",2,Global,art,https://en.wikipedia.org/wiki/1708,1708,Calendar year
1709,1709,,,art-culture-religion,"1709 (MDCCIX) was a common year starting on Tuesday of the Gregorian calendar and a common year starting on Saturday of the Julian calendar, the 1709th year of the Common Era (CE) and Anno Domini (AD) designations, the 709th year of the 2nd millennium, the 9th year of the 18th century, and the 10th and last year of the 1700s decade.",2,Global,art,https://en.wikipedia.org/wiki/1709,1709,Calendar year
Great Frost of 1709,1709,,,war-politics,"The Great Frost, as it was known in England, or Le Grand Hiver, as it was known in France, was an extraordinarily cold winter in Europe in 1708–1709, and was the coldest European winter during the past 500 years.",2,Europe,europe,https://en.wikipedia.org/wiki/Great_Frost_of_1709,Great_Frost_of_1709,Coldest recorded winter in Europe
1710,1710,,,art-culture-religion,"1710 (MDCCX) was a common year starting on Wednesday of the Gregorian calendar and a common year starting on Sunday of the Julian calendar, the 1710th year of the Common Era (CE) and Anno Domini (AD) designations, the 710th year of the 2nd millennium, the 10th year of the 18th century, and the 1st year of the 1710s decade.",2,Global,art,https://en.wikipedia.org/wiki/1710,1710,Calendar year
1712,1712,,,art-culture-religion,"1712 (MDCCXII) was a leap year starting on Friday of the Gregorian calendar and a leap year starting on Tuesday of the Julian calendar, the 1712th year of the Common Era (CE) and Anno Domini (AD) designations, the 712th year of the 2nd millennium, the 12th year of the 18th century, and the 3rd year of the 1710s decade.",2,Global,art,https://en.wikipedia.org/wiki/1712,1712,Calendar year
1713,1713,,,art-culture-religion,"1713 (MDCCXIII) was a common year starting on Sunday of the Gregorian calendar and a common year starting on Thursday of the Julian calendar, the 1713th year of the Common Era (CE) and Anno Domini (AD) designations, the 713th year of the 2nd millennium, the 13th year of the 18th century, and the 4th year of the 1710s decade.",2,Global,art,https://en.wikipedia.org/wiki/1713,1713,Calendar year
1714,1714,,,art-culture-religion,"1714 (MDCCXIV) was a common year starting on Monday of the Gregorian calendar and a common year starting on Friday of the Julian calendar, the 1714th year of the Common Era (CE) and Anno Domini (AD) designations, the 714th year of the 2nd millennium, the 14th year of the 18th century, and the 5th year of the 1710s decade.",2,Global,art,https://en.wikipedia.org/wiki/1714,1714,Calendar year
1716,1716,,,art-culture-religion,"1716 (MDCCXVI) was a leap year starting on Wednesday of the Gregorian calendar and a leap year starting on Sunday of the Julian calendar, the 1716th year of the Common Era (CE) and Anno Domini (AD) designations, the 716th year of the 2nd millennium, the 16th year of the 18th century, and the 7th year of the 1710s decade.",2,Global,art,https://en.wikipedia.org/wiki/1716,1716,Calendar year
1717,1717,,,art-culture-religion,"1717 (MDCCXVII) was a common year starting on Friday of the Gregorian calendar and a common year starting on Tuesday of the Julian calendar, the 1717th year of the Common Era (CE) and Anno Domini (AD) designations, the 717th year of the 2nd millennium, the 17th year of the 18th century, and the 8th year of the 1710s decade.",2,Global,art,https://en.wikipedia.org/wiki/1717,1717,Calendar year
1718,1718,,,art-culture-religion,"1718 (MDCCXVIII) was a common year starting on Saturday of the Gregorian calendar and a common year starting on Wednesday of the Julian calendar, the 1718th year of the Common Era (CE) and Anno Domini (AD) designations, the 718th year of the 2nd millennium, the 18th year of the 18th century, and the 9th year of the 1710s decade.",2,Global,art,https://en.wikipedia.org/wiki/1718,1718,Calendar year
The Spanish attempt to restart the Jacobite rebellion fails,1719,,,war-politics,1719 : The Spanish attempt to restart the Jacobite rebellion fails.,2,Global,art,https://en.wikipedia.org/wiki/1719,1719,
The South Sea Bubble,1720,,,war-politics,1720 : The South Sea Bubble .,2,Global,,https://en.wikipedia.org/wiki/1720,1720,
Robert Walpole becomes the first Prime Minister of Great Britain ( de facto ),1721,,,war-politics,1721 : Robert Walpole becomes the first Prime Minister of Great Britain ( de facto ).,2,Europe,,https://en.wikipedia.org/wiki/1721,1721,
"Afghans conquer much of Iran, overthrowing the Safavid Shah Sultan Husayn",1722,,,war-politics,"1722 : Afghans conquer much of Iran, overthrowing the Safavid Shah Sultan Husayn .",2,Middle East,,https://en.wikipedia.org/wiki/1722,1722,
Slavery is abolished in Russia; Peter the Great converts household slaves into h,1723,,,war-politics,1723 : Slavery is abolished in Russia; Peter the Great converts household slaves into house serfs . [ 6 ],2,Global,,https://en.wikipedia.org/wiki/1723,1723,
"The Treaty of Constantinople is signed, partitioning Persia between the Ottoman",1724,,,war-politics,"1724 : The Treaty of Constantinople is signed, partitioning Persia between the Ottoman Empire and Russia.",3,Europe,art;empire;treaty,https://en.wikipedia.org/wiki/1724,1724,
The Fulani nomads take complete control of Futa Jallon and set up the first of m,1725,,,war-politics,1725 : The Fulani nomads take complete control of Futa Jallon and set up the first of many Fulani jihad states to come. [ 7 ],2,Global,,https://en.wikipedia.org/wiki/1725,1725,
The enormous Chinese encyclopedia Complete Classics Collection of Ancient China,1726,,,art-culture-religion,"1726 : The enormous Chinese encyclopedia Complete Classics Collection of Ancient China of over 100 million written Chinese characters in over 800,000 pages is printed in 60 different copies using copper -based Chinese movable type printing .",2,Asia,ancient,https://en.wikipedia.org/wiki/1726,1726,
Afghans ousted from Iran by Nader Shah ; Safavids restored to the throne,1729,,,war-politics,1729 : Afghans ousted from Iran by Nader Shah ; Safavids restored to the throne.,2,Middle East,,https://en.wikipedia.org/wiki/1729,1729,
1729 : Anglo-Spanish War,1727,,,war-politics,1727 – 1729 : Anglo-Spanish War .,2,Global,war,https://en.wikipedia.org/wiki/1727,1727,
"Mahmud I takes over Ottoman Empire after the Patrona Halil revolt, ending the Tu",1730,,,war-politics,"1730 : Mahmud I takes over Ottoman Empire after the Patrona Halil revolt, ending the Tulip period .",2,Europe,empire,https://en.wikipedia.org/wiki/1730,1730,
1734 : Crimean Tatar raids into Russia. [ 8 ],1732,,,war-politics,1732 – 1734 : Crimean Tatar raids into Russia. [ 8 ],2,Global,,https://en.wikipedia.org/wiki/1732,1732,
1738 : War of the Polish Succession,1733,,,war-politics,1733 – 1738 : War of the Polish Succession .,2,Europe,war,https://en.wikipedia.org/wiki/1733,1733,
Letters Concerning the English Nation by Voltaire published in French,1734,,,war-politics,1734 : Letters Concerning the English Nation by Voltaire published in French.,2,Global,,https://en.wikipedia.org/wiki/1734,1734,
1739 : Russo-Turkish War,1735,,,war-politics,1735 – 1739 : Russo-Turkish War .,2,Global,war,https://en.wikipedia.org/wiki/1735,1735,
Nader Shah assumes the title of Shah of Persia and founds the Afsharid dynasty,1736,,,war-politics,1736 : Nader Shah assumes the title of Shah of Persia and founds the Afsharid dynasty ; he rules until his death in 1747 .,2,Asia,,https://en.wikipedia.org/wiki/1736,1736,
1756 : Famine across the Sahel ; half the population of Timbuktu dies. [ 10 ],1738,,,exploration-disasters,1738 – 1756 : Famine across the Sahel ; half the population of Timbuktu dies. [ 10 ],2,Global,famine,https://en.wikipedia.org/wiki/1738,1738,
Nader Shah defeats the Mughals at the Battle of Karnal and sacks Delhi,1739,,,science-technology,1739 : Nader Shah defeats the Mughals at the Battle of Karnal and sacks Delhi .,3,Global,,https://en.wikipedia.org/wiki/1739,1739,
Frederick the Great comes to power in Prussia,1740,,,war-politics,1740 : Frederick the Great comes to power in Prussia .,2,Global,,https://en.wikipedia.org/wiki/1740,1740,
Russians begin settling the Aleutian Islands,1741,,,exploration-disasters,1741 : Russians begin settling the Aleutian Islands .,2,Europe,,https://en.wikipedia.org/wiki/1741,1741,
The rebellion of Juan Santos Atahualpa,1742,,,war-politics,1742 : The rebellion of Juan Santos Atahualpa .,2,Global,,https://en.wikipedia.org/wiki/1742,1742,
1743,1743,,,art-culture-religion,"1743 (MDCCXLIII) was a common year starting on Tuesday of the Gregorian calendar and a common year starting on Saturday of the Julian calendar, the 1743rd year of the Common Era (CE) and Anno Domini (AD) designations, the 743rd year of the 2nd millennium, the 43rd year of the 18th century, and the 4th year of the 1740s decade.",2,Global,art,https://en.wikipedia.org/wiki/1743,1743,Calendar year
The First Saudi State is founded by Mohammed Ibn Saud . [ 13 ],1744,,,war-politics,1744 : The First Saudi State is founded by Mohammed Ibn Saud . [ 13 ],2,Middle East,,https://en.wikipedia.org/wiki/1744,1744,
Second Jacobite rising is begun by Charles Edward Stuart in Scotland,1745,,,war-politics,1745 : Second Jacobite rising is begun by Charles Edward Stuart in Scotland.,2,Global,war;art,https://en.wikipedia.org/wiki/1745,1745,
Ahmed Shah Durrani founds the Durrani Empire in modern-day Afghanistan,1747,,,war-politics,1747 : Ahmed Shah Durrani founds the Durrani Empire in modern-day Afghanistan .,2,Global,empire;modern,https://en.wikipedia.org/wiki/1747,1747,
The Treaty of Aix-La-Chapelle ends the War of the Austrian Succession and First,1748,,,war-politics,1748 : The Treaty of Aix-La-Chapelle ends the War of the Austrian Succession and First Carnatic War.,3,Europe,war;treaty,https://en.wikipedia.org/wiki/1748,1748,
Peak of the Little Ice Age,1750,,,war-politics,1750 : Peak of the Little Ice Age .,2,Global,,https://en.wikipedia.org/wiki/1750,1750,
The Treaty of Pondicherry ends the Second Carnatic War and recognizes Muhammed A,1754,,,war-politics,1754 : The Treaty of Pondicherry ends the Second Carnatic War and recognizes Muhammed Ali Khan Wallajah as Nawab of the Carnatic .,3,Global,war;treaty,https://en.wikipedia.org/wiki/1754,1754,
The Lisbon earthquake occurs,1755,,,art-culture-religion,1755 : The Lisbon earthquake occurs.,2,Global,art;earthquake,https://en.wikipedia.org/wiki/1755,1755,
1763 : The Seven Years' War is fought among European powers in various theaters,1756,,,war-politics,1756 – 1763 : The Seven Years' War is fought among European powers in various theaters around the world.,2,Europe,war;europe,https://en.wikipedia.org/wiki/1756,1756,
The Battle of Plassey signals the beginning of formal British rule in India afte,1757,,,war-politics,1757 : The Battle of Plassey signals the beginning of formal British rule in India after years of commercial activity under the auspices of the East India Company .,3,Asia,,https://en.wikipedia.org/wiki/1757,1757,
British colonel James Wolfe issues Wolfe's Manifesto,1758,,,war-politics,1758 : British colonel James Wolfe issues Wolfe's Manifesto .,2,Global,,https://en.wikipedia.org/wiki/1758,1758,
French and Indian War : French commander Louis-Joseph de Montcalm and British co,1759,,,war-politics,1759 : French and Indian War : French commander Louis-Joseph de Montcalm and British commander James Wolfe die during the Battle of the Plains of Abraham .,3,Asia,war,https://en.wikipedia.org/wiki/1759,1759,
